Plate Barcode,File Name
BR00149332,S-B-REPO1_2025-006-1_platemap.csv
BR00149333,S-B-REPO1_2025-006-1_platemap.csv
Assay Plate_1_3,S-B-REPO1_2025-006-1_platemap.csv
Assay Plate_1_4,S-B-REPO1_2025-007-1_platemap.csv
Assay Plate_1_5,S-B-REPO1_2025-007-1_platemap.csv
BR00149355,S-B-REPO1_2025-007-1_platemap.csv
BR00149356,S-B-REPO1_2025-008-1_platemap.csv
BR00149357,S-B-REPO1_2025-008-1_platemap.csv
BR00149358,S-B-REPO1_2025-008-1_platemap.csv
BR00149359,S-B-REPO1_2025-009-01_platemap.csv
BR00149360,S-B-REPO1_2025-009-01_platemap.csv
BR00149361,S-B-REPO1_2025-009-01_platemap.csv
BR00149543,S-B-REPO1_2025-001-1_platemap.csv
BR00149544,S-B-REPO1_2025-001-1_platemap.csv
BR00149545,S-B-REPO1_2025-001-1_platemap.csv
BR00149546,S-B-REPO1_2025-002-1_platemap.csv
BR00149547,S-B-REPO1_2025-002-1_platemap.csv
BR00149548,S-B-REPO1_2025-002-1_platemap.csv
BR00149549,S-B-REPO1_2025-003-1_platemap.csv
BR00149550,S-B-REPO1_2025-003-1_platemap.csv
BR00149551,S-B-REPO1_2025-003-1_platemap.csv
BR00149555,S-B-REPO1_2025-004-1_platemap.csv
BR00149556,S-B-REPO1_2025-004-1_platemap.csv
BR00149557,S-B-REPO1_2025-004-1_platemap.csv
BR00149558,S-B-REPO1_2025-005-1_platemap.csv
BR00149559,S-B-REPO1_2025-005-1_platemap.csv
BR00149561,S-B-REPO1_2025-005-1_platemap.csv
